history,patient,doctor
 ## مريض : يا دكتور، أنا بتعب من الشك والقلق بالنسبة لمستقبلي. ## دكتور : حاول توضحلي الأسباب اللي بتخليك تشعر بالشك ده. ## مريض : مش عارف، بس دايمًا بحس إني مش هيبقى ليا مستقبل. ## دكتور : هل جربت تفكر في الأهداف اللي عاوز تحققها في المستقبل؟ ## مريض : لا، بس بحاول أفكر فيها دلوقتي.,لا، بس بحاول أفكر فيها دلوقتي.,اقفال
 ## دكتور : أهلاً يا صديقي، إزيك؟,بداية,أهلاً يا صديقي، إزيك؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني.,أهلاً دكتور، بخير بس في حاجات بتضايقني.,أهلاً يا صديقي، إزيك؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها.,يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها.,طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي.
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها.,أنا حاولت بس مش عارف أديرها.,فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا.
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو.,بحاول بس بيبقى في النهاية مش بيرجع زي ما هو.,هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه.,يمكن يبقى كده، بس مش عارف أبدأ في إيه.,ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي.,لا، بس ممكن أجرب دلوقتي.,طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم.,طب أنا عايز أنام قبل العاشرة كل يوم.,طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي.
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم. ## دكتور : كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟ ## مريض : هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم.,هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم.,كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم. ## دكتور : كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟ ## مريض : هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم. ## دكتور : ده كويس جداً، هتجرب تطبق ده في الأسبوع الجاي ونشوف النتيجة، صح؟ ## مريض : صح، هحاول أطبقه وأشوف النتيجة.,صح، هحاول أطبقه وأشوف النتيجة.,ده كويس جداً، هتجرب تطبق ده في الأسبوع الجاي ونشوف النتيجة، صح؟
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم. ## دكتور : كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟ ## مريض : هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم. ## دكتور : ده كويس جداً، هتجرب تطبق ده في الأسبوع الجاي ونشوف النتيجة، صح؟ ## مريض : صح، هحاول أطبقه وأشوف النتيجة. ## دكتور : ربنا يوفقك يا صديقي، وأنا معاك في كل خطوة. ## مريض : شكرًا جداً يا دكتور، حديثك معايا بيطمنني.,شكرًا جداً يا دكتور، حديثك معايا بيطمنني.,ربنا يوفقك يا صديقي، وأنا معاك في كل خطوة.
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم. ## دكتور : كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟ ## مريض : هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم. ## دكتور : ده كويس جداً، هتجرب تطبق ده في الأسبوع الجاي ونشوف النتيجة، صح؟ ## مريض : صح، هحاول أطبقه وأشوف النتيجة. ## دكتور : ربنا يوفقك يا صديقي، وأنا معاك في كل خطوة. ## مريض : شكرًا جداً يا دكتور، حديثك معايا بيطمنني. ## دكتور : أنا موجود في أي وقت تحتاج فيه، لو في حاجة اتصل بي أو تعالى للعيادة، ونكمل مشوارنا سوا. ## مريض : هكون ممنون ليك جداً، شكرًا يا دكتور.,هكون ممنون ليك جداً، شكرًا يا دكتور.,أنا موجود في أي وقت تحتاج فيه، لو في حاجة اتصل بي أو تعالى للعيادة، ونكمل مشوارنا سوا.
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم. ## دكتور : كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟ ## مريض : هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم. ## دكتور : ده كويس جداً، هتجرب تطبق ده في الأسبوع الجاي ونشوف النتيجة، صح؟ ## مريض : صح، هحاول أطبقه وأشوف النتيجة. ## دكتور : ربنا يوفقك يا صديقي، وأنا معاك في كل خطوة. ## مريض : شكرًا جداً يا دكتور، حديثك معايا بيطمنني. ## دكتور : أنا موجود في أي وقت تحتاج فيه، لو في حاجة اتصل بي أو تعالى للعيادة، ونكمل مشوارنا سوا. ## مريض : هكون ممنون ليك جداً، شكرًا يا دكتور. ## دكتور : لا دايمًا هدفنا هو مساعدتك على تحسين حياتك النفسية والعيش بسعادة. فأنا هنا لمساندتك وموجود لخدمتك في أي وقت. ## مريض : بجد شكرًا يا دكتور، أنا مرتاح إني عارف إن في حد هيفهمني وهيقدر يساعدني.,بجد شكرًا يا دكتور، أنا مرتاح إني عارف إن في حد هيفهمني وهيقدر يساعدني.,لا دايمًا هدفنا هو مساعدتك على تحسين حياتك النفسية والعيش بسعادة. فأنا هنا لمساندتك وموجود لخدمتك في أي وقت.
 ## دكتور : أهلاً يا صديقي، إزيك؟ ## مريض : أهلاً دكتور، بخير بس في حاجات بتضايقني. ## دكتور : طب أعرف أكتر عن اللي بيضايقك، شوف احكيلي. ## مريض : يعني في ضغوطات كتير في الشغل والبيت، ومش عارف أتعامل معاها. ## دكتور : فهمت يا أخي، الضغوط ديه بتكون صعبة جداً، بس هو احنا هنلاقي طريقة نتعامل بيها سوا. ## مريض : أنا حاولت بس مش عارف أديرها. ## دكتور : هل جربت تحديد حاجات معينة تعملها تساعدك تتخلص من التوتر ده؟ ## مريض : بحاول بس بيبقى في النهاية مش بيرجع زي ما هو. ## دكتور : ايوه، بس لو كنت بتعمل حاجات بتشغل دماغك عن الضغوطات، هل هيساعدك في التغلب عليها؟ ## مريض : يمكن يبقى كده، بس مش عارف أبدأ في إيه. ## دكتور : طيب هل جربت تحدد أهدافك وتعمل خطة لتحقيقها؟ ## مريض : لا، بس ممكن أجرب دلوقتي. ## دكتور : طيب حدد ليا هدف واحد صغير بتتمنى تحققه في الأسبوع الجاي. ## مريض : طب أنا عايز أنام قبل العاشرة كل يوم. ## دكتور : كويس جداً، ده هدف ممكن تحققه بتغيير نمط حياتك شوية، هتعمل ايه عشان تحققه؟ ## مريض : هحاول أبدأ بالنوم في نفس الوقت كل يوم وأقلل من استخدام الهواتف المحمولة قبل النوم. ## دكتور : ده كويس جداً، هتجرب تطبق ده في الأسبوع الجاي ونشوف النتيجة، صح؟ ## مريض : صح، هحاول أطبقه وأشوف النتيجة. ## دكتور : ربنا يوفقك يا صديقي، وأنا معاك في كل خطوة. ## مريض : شكرًا جداً يا دكتور، حديثك معايا بيطمنني. ## دكتور : أنا موجود في أي وقت تحتاج فيه، لو في حاجة اتصل بي أو تعالى للعيادة، ونكمل مشوارنا سوا. ## مريض : هكون ممنون ليك جداً، شكرًا يا دكتور. ## دكتور : لا دايمًا هدفنا هو مساعدتك على تحسين حياتك النفسية والعيش بسعادة. فأنا هنا لمساندتك وموجود لخدمتك في أي وقت. ## مريض : بجد شكرًا يا دكتور، أنا مرتاح إني عارف إن في حد هيفهمني وهيقدر يساعدني. ## دكتور : دايمًا هدفنا هو راحتك وسعادتك، وأنا متأكد إننا سنجد حلاً لهذه الضغوطات معًا. ## مريض : إن شاء الله يا دكتور، أنا متفائل إننا هنلاقي طريقة نتغلب بيها على المشاكل دي.,إن شاء الله يا دكتور، أنا متفائل إننا هنلاقي طريقة نتغلب بيها على المشاكل دي.,دايمًا هدفنا هو راحتك وسعادتك، وأنا متأكد إننا سنجد حلاً لهذه الضغوطات معًا.
